"","Station","Species","Date","Time","FileName"
"1","TB04","Macaca nemestrina",2020-12-19,"08:04:43","2020 12 19 08 04 54.MP4"
"2","TB04","Macaca nemestrina",2020-12-19,"08:05:04","2020 12 19 08 05 14.MP4"
"3","TB04","Martes flavigula",2020-12-11,"10:55:45","2020 12 11 10 55 56.MP4"
"4","TB04","Martes flavigula",2021-01-20,"18:26:28","2021 01 20 18 26 38.MP4"
"5","TB04","StartEnd",2020-10-30,"20:00:58","2020 10 30 20 01 04.MP4"
"6","TB04","StartEnd",2021-01-22,"11:44:18","2021 01 22 11 44 22.MP4"
"7","TB05","StartEnd",2020-10-30,"09:43:06","2020 10 30 09 43 16.MP4"
"8","TB05","StartEnd",2021-01-23,"11:38:37","2021 01 23 11 38 48.MP4"
"9","TB05","Tragulus kanchil",2020-11-05,"14:56:02","2020 11 05 14 56 12.MP4"
"10","TB05","Tragulus kanchil",2020-11-09,"06:31:51","2020 11 09 06 32 02.MP4"
"11","TB05","Tragulus kanchil",2020-11-11,"09:15:53","2020 11 11 09 16 04.MP4"
"12","TB05","Tragulus kanchil",2020-11-11,"09:18:32","2020 11 11 09 18 42.MP4"
"13","TB05","Tragulus kanchil",2020-11-26,"13:57:10","2020 11 26 13 57 20.MP4"
"14","TB05","Tragulus kanchil",2020-11-28,"15:40:18","2020 11 28 15 40 28.MP4"
"15","TB05","Tragulus kanchil",2020-12-24,"17:17:09","2020 12 24 17 17 18.MP4"
"16","TB05","Tragulus kanchil",2020-12-25,"06:43:47","2020 12 25 06 43 56.MP4"
"17","TB05","Tragulus kanchil",2021-01-08,"11:07:28","2021 01 08 11 07 38.MP4"
"18","TB05","Tragulus kanchil",2021-01-14,"06:46:05","2021 01 14 06 46 16.MP4"
"19","TB05","Viverra tangalunga",2020-11-06,"00:06:08","2020 11 06 00 06 18.MP4"
"20","TB05","Viverra tangalunga",2020-11-17,"04:30:28","2020 11 17 04 30 38.MP4"
"21","TB05","Viverra tangalunga",2020-11-27,"01:30:07","2020 11 27 01 30 18.MP4"
"22","TB05","Viverra tangalunga",2021-01-18,"18:47:52","2021 01 18 18 48 02.MP4"
"23","TB10","Arctictis binturong",2020-12-13,"05:30:18","2020 12 13 05 30 14.JPG"
"24","TB10","Arctictis binturong",2020-12-13,"05:30:19","2020 12 13 05 30 26.JPG"
"25","TB10","Arctictis binturong",2020-12-13,"05:30:20","2020 12 13 05 30 20.JPG"
"26","TB10","Arctictis binturong",2020-12-13,"05:30:21","2020 12 13 05 30 22.JPG"
"27","TB10","Neofelis diardi",2020-11-23,"07:30:29","2020 11 23 07 30 27.JPG"
"28","TB10","Neofelis diardi",2020-11-23,"07:30:30","2020 11 23 07 30 30.JPG"
"29","TB10","Neofelis diardi",2020-11-23,"07:30:31","2020 11 23 07 30 32.JPG"
"30","TB10","StartEnd",2020-10-29,"15:40:21","2020 10 29 15 40 20.JPG"
"31","TB10","StartEnd",2021-01-22,"16:42:15","2021 01 22 16 42 16.JPG"
"32","TB10","Tragulus kanchil",2021-01-11,"00:50:47","2021 01 11 00 50 43.JPG"
"33","TB10","Tragulus kanchil",2021-01-11,"00:50:48","2021 01 11 00 50 48.JPG"
"34","TB10","Tragulus kanchil",2021-01-11,"00:50:49","2021 01 11 00 50 50.JPG"
"35","TB10","Tragulus kanchil",2021-01-19,"08:14:28","2021 01 19 08 14 22.JPG"
"36","TB10","Tragulus kanchil",2021-01-19,"08:14:29","2021 01 19 08 14 20.JPG"
"37","TB10","Tragulus kanchil",2021-01-19,"08:14:30","2021 01 19 08 14 30.JPG"
"38","RKGA_002","Neofelis diardi",2020-10-17,"19:39:08","2020 10 17 19 39 08.AVI"
"39","RKGA_002","StartEnd",2020-10-06,"15:55:32","2020 10 06 15 55 32.AVI"
"40","RKGA_002","StartEnd",2020-10-25,"02:36:32","2020 10 25 02 36 32.AVI"
"41","RKGA_063","Helarctos malayanus",2020-12-27,"13:50:24","2020 12 27 13 50 24.AVI"
"42","RKGA_063","Helarctos malayanus",2020-12-27,"13:51:02","2020 12 27 13 51 02.AVI"
"43","RKGA_063","Helarctos malayanus",2021-01-29,"02:53:12","2021 01 29 02 53 12.AVI"
"44","RKGA_063","Macaca nemestrina",2021-01-08,"14:31:46","2021 01 08 14 31 46.AVI"
"45","RKGA_063","Macaca nemestrina",2021-01-08,"14:32:04","2021 01 08 14 32 04.AVI"
"46","RKGA_063","StartEnd",2020-12-09,"14:53:14","12090034.AVI"
"47","RKGA_063","StartEnd",2021-02-19,"21:02:58","2021 02 19 21 02 58.AVI"
